id,x,y,max,p99,p98,avg,model,id_lab
1,740016,5083770,100.34,70.761,41.777,5.3377,calpuff_area,50m_S
2,740016,5083720,96.219,85.789,78.172,11.097,calpuff_area,100m_S
3,740016,5083520,21.273,14.28,12.592,1.7363,calpuff_area,300m_S
4,740016,5083320,8.0073,6.1215,5.4498,0.7108,calpuff_area,500m_S
5,740016,5083870,35.881,19.807,10.841,0.87323,calpuff_area,50m_N
6,740016,5083920,28.082,15.237,8.34,0.58222,calpuff_area,100m_N
7,740016,5084120,9.2964,4.9588,2.483,0.16715,calpuff_area,300m_N
8,740016,5084320,5.2857,2.2356,1.0681,0.081693,calpuff_area,500m_N
9,739966,5083820,37.381,22.588,14.727,1.1498,calpuff_area,50m_E
10,739916,5083820,31.092,18.382,12.112,0.86095,calpuff_area,100m_E
11,739716,5083820,9.9983,7.0728,4.9959,0.31065,calpuff_area,300m_E
12,739516,5083820,5.6028,3.8752,2.7818,0.16701,calpuff_area,500m_E
13,740066,5083820,83.943,42.562,20.885,2.4229,calpuff_area,50m_W
14,740116,5083820,57.873,42.356,27.585,2.2923,calpuff_area,100m_W
15,740316,5083820,17.969,12.238,10.014,0.6424,calpuff_area,300m_W
16,740516,5083820,7.043,4.9801,4.0718,0.25659,calpuff_area,500m_W
1,740016,5083770,528.63807,101.03971,55.32555,8.3765,aermod_area,50m_S
2,740016,5083720,447.94321,166.68051,118.37464,13.2807,aermod_area,100m_S
3,740016,5083520,118.47616,24.46606,16.92072,1.63564,aermod_area,300m_S
4,740016,5083320,55.54482,9.03385,6.55914,0.58308,aermod_area,500m_S
5,740016,5083870,243.68485,11.0543,3.05447,0.89975,aermod_area,50m_N
6,740016,5083920,148.61911,6.34738,1.46982,0.4941,aermod_area,100m_N
7,740016,5084120,70.9339,1.40813,0.32241,0.1463,aermod_area,300m_N
8,740016,5084320,28.42409,0.52677,0.13142,0.07095,aermod_area,500m_N
9,739966,5083820,275.24663,23.55734,7.5481,1.30197,aermod_area,50m_E
10,739916,5083820,186.06009,17.53589,5.106,0.80236,aermod_area,100m_E
11,739716,5083820,34.10253,4.3756,0.93702,0.20044,aermod_area,300m_E
12,739516,5083820,20.773,2.45545,0.44272,0.11164,aermod_area,500m_E
13,740066,5083820,362.92869,67.75993,42.20917,4.23901,aermod_area,50m_W
14,740116,5083820,299.18079,56.72019,29.35776,2.53979,aermod_area,100m_W
15,740316,5083820,61.07383,15.32787,8.54241,0.56249,aermod_area,300m_W
16,740516,5083820,51.53213,6.19583,2.77404,0.22194,aermod_area,500m_W
1,740016,5083770,62.66539,61.12976,58.5887,13.19403,aermod_volume,50m_S
2,740016,5083720,63.76738,57.96648,54.37393,11.57851,aermod_volume,100m_S
3,740016,5083520,8.88452,6.6147,5.69755,1.01237,aermod_volume,300m_S
4,740016,5083320,3.3002,2.48576,2.18531,0.35149,aermod_volume,500m_S
5,740016,5083870,21.69635,15.70276,13.30175,2.24039,aermod_volume,50m_N
6,740016,5083920,13.97866,9.5076,7.93032,1.28296,aermod_volume,100m_N
7,740016,5084120,4.45523,2.80426,2.31974,0.35598,aermod_volume,300m_N
8,740016,5084320,1.89542,1.27898,1.08017,0.16794,aermod_volume,500m_N
9,739966,5083820,23.46325,17.72412,15.25552,2.63203,aermod_volume,50m_E
10,739916,5083820,14.42569,10.59397,9.08032,1.51927,aermod_volume,100m_E
11,739716,5083820,15.64553,2.18412,2.00614,0.24224,aermod_volume,300m_E
12,739516,5083820,9.68334,1.55154,1.10104,0.12863,aermod_volume,500m_E
13,740066,5083820,39.61239,35.56442,31.67389,5.96567,aermod_volume,50m_W
14,740116,5083820,24.77515,20.12532,17.92831,3.54595,aermod_volume,100m_W
15,740316,5083820,5.86804,4.17106,3.55743,0.61612,aermod_volume,300m_W
16,740516,5083820,2.83768,1.73293,1.46061,0.24365,aermod_volume,500m_W
1,740016,5083770,219.7,35.21,26.1,3.254,lapmod_area,50m_S
2,740016,5083720,205.6,82.54,55.13,5.39,lapmod_area,100m_S
3,740016,5083520,24.71,5.997,3.757,0.3133,lapmod_area,300m_S
4,740016,5083320,7.053,1.787,0.9142,0.08474,lapmod_area,500m_S
5,740016,5083870,68.94,2.52,1.414,0.2286,lapmod_area,50m_N
6,740016,5083920,40.57,1.183,0.5909,0.1191,lapmod_area,100m_N
7,740016,5084120,8.142,0.2383,0.1181,0.02743,lapmod_area,300m_N
8,740016,5084320,3.231,0.1525,0.04777,0.01153,lapmod_area,500m_N
9,739966,5083820,52.07,4.649,2.138,0.3242,lapmod_area,50m_E
10,739916,5083820,32.36,3.09,1.24,0.1977,lapmod_area,100m_E
11,739716,5083820,10.37,0.7922,0.2605,0.05453,lapmod_area,300m_E
12,739516,5083820,4.339,0.4873,0.1414,0.02572,lapmod_area,500m_E
13,740066,5083820,162.3,21.5,9.91,1.344,lapmod_area,50m_W
14,740116,5083820,109.9,21.68,10.62,1.131,lapmod_area,100m_W
15,740316,5083820,15.48,3.194,1.115,0.1271,lapmod_area,300m_W
16,740516,5083820,5.225,0.9277,0.2946,0.03832,lapmod_area,500m_W
