  
    ************ Error Message List *************
  
    PW     --- Pathway                           
    Code   --- Error Type + Error Code           
    L#     --- The Line Number Where Error Occurs
    ModNam --- Module Name In Which Error Occurs 
    Hints  --- Hints For The Possible Solution   
    *********************************************
  
PW CODE    L#      MODNAM                       ERROR MESSAGES                      HINTS
-- ---- ------- ------------- -------------------------------------------------- ------------
  
CO W361      16       COCARD: Multiyear PERIOD/ANNUAL values for NO2/SO2 require MULTYEAR Opt
ME W531      86       MEOPEN: CAUTION! Met Station ID Missing from SURFFILE for      SURFDATA
MX I460       9  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010109
MX I460      10  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010110
MX I460      11  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010111
MX I460      12  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010112
MX I460      13  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010113
MX I460      14  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010114
MX I460      33  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010209
MX I460      34  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010210
MX I460      35  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010211
MX I460      36  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010212
MX I460      37  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010213
MX I460      38  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010214
MX I460      57  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010309
MX I460      58  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010310
MX I460      59  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010311
MX I460      60  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010312
MX I460      61  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010313
MX I460      62  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010314
MX I460      81  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010409
MX I460      82  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010410
MX I460      83  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010411
MX I460      84  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010412
MX I460      85  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010413
MX I460      86  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010414
MX I460     105  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010509
MX I460     106  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010510
MX I460     107  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010511
MX I460     108  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010512
MX I460     109  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010513
MX I460     110  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010514
MX I440     121       CHKCLM: Calm Hour Identified in Meteorology Data File at     2020010601
MX I460     129  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010609
MX I460     130  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010610
MX I460     131  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010611
MX I460     132  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010612
MX I460     133  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010613
MX I460     134  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010614
MX I460     154  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010710
MX I460     155  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010711
MX I460     156  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010712
MX I460     157  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010713
MX I460     158  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010714
MX I460     177  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010809
MX I460     178  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010810
MX I460     179  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010811
MX I460     180  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010812
MX I460     181  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010813
MX I460     182  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010814
MX I460     201  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010909
MX I460     202  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010910
MX I460     203  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010911
MX I460     204  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010912
MX I460     205  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010913
MX I460     206  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020010914
MX I440     208       CHKCLM: Calm Hour Identified in Meteorology Data File at     2020010916
MX I460     225  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2020011009
