stazione,data,Sb,Sb_flag,As,As_flag,Cd,Cd_flag,Cr,Cr_flag,Fe,Fe_flag,Mn,Mn_flag,Hg,Hg_flag,Ni,Ni_flag,Pb,Pb_flag,Cu,Cu_flag,Se,Se_flag,Tl,Tl_flag,V,V_flag,Zn,Zn_flag
foscolo,01/01/2020,6.7,0,2.1,0,0.7,0,10.5,0,330.6,0,11.8,0,0.1,1,1.5,0,14.4,0,150.8,0,0.5,1,0.5,1,2.9,0,81.9,0
foscolo,02/01/2020,8.4,0,1.8,0,1.2,0,6.7,0,505.9,0,16.1,0,0.1,1,2.1,0,18,0,28.6,0,1.8,0,0.5,1,2.8,0,77.6,0
foscolo,03/01/2020,11,0,1.6,0,1.2,0,8,0,329.3,0,7.9,0,0.1,1,1.9,0,19.3,0,22.5,0,1.4,0,0.5,1,2.2,0,77.2,0
foscolo,04/01/2020,13.1,0,1.9,0,1.3,0,7.8,0,512.8,0,11,0,0.1,1,2.3,0,16.5,0,25.5,0,1.3,0,0.5,1,2.2,0,87.2,0
foscolo,05/01/2020,7.2,0,0.5,1,0.7,0,4.2,0,226.7,0,5,0,0.1,1,1.3,0,10.4,0,14.4,0,0.5,1,0.5,1,2.2,0,62.7,0
foscolo,06/01/2020,11.6,0,2.2,0,6.3,0,3.6,0,166.2,0,4.7,0,0.1,1,1.7,0,28.4,0,12.4,0,13.4,0,0.5,1,2,0,109.6,0
foscolo,07/01/2020,16.2,0,14.5,0,7.8,0,10.4,0,661.6,0,29.7,0,0.1,1,2.8,0,28.6,0,29.7,0,1.9,0,0.5,1,2.5,0,182.2,0
foscolo,08/01/2020,24.6,0,13.2,0,6,0,13.4,0,630.6,0,34.8,0,0.1,1,4.7,0,238.9,0,31.9,0,3.1,0,0.5,1,1.4,0,298.9,0
foscolo,09/01/2020,25.4,0,2.6,0,4.4,0,18.7,0,629.8,0,32,0,0.1,1,6.4,0,353.6,0,36.7,0,2.8,0,0.5,1,1.5,0,301.6,0
foscolo,10/01/2020,20.4,0,3.7,0,2.3,0,12,0,569.2,0,23.1,0,0.1,1,3.8,0,78.9,0,24.4,0,2.1,0,0.5,1,1.2,0,137.5,0
foscolo,11/01/2020,16.3,0,0.5,1,0.6,0,10,0,403,0,11.8,0,0.1,1,2,0,12.6,0,17.1,0,0.5,1,0.5,1,0.5,1,80.4,0
