 PEAK VALUE Output  --------  CD            1

       24   HOUR Average  CONCENTRATION Values at Selected Receptors  (ng/m**3)    
       19   Receptors are Included

 PD START TIME
 YYYY JDY HHMM   (I , J)  T     X(km)      Y(km)  

 2017 243 0000     0   0         0.000      0.000  0.000000E+00
 2017 244 0000     0   0         0.000      0.000  0.000000E+00
 2017 245 0000     0   0         0.000      0.000  0.000000E+00
 2017 246 0000     0   0         0.000      0.000  0.000000E+00
 2017 247 0000     0   0         0.000      0.000  0.000000E+00
 2017 248 0000     0   0         0.000      0.000  0.000000E+00
 2017 249 0000     0   0         0.000      0.000  0.000000E+00
 2017 250 0000     0   0         0.000      0.000  0.000000E+00
 2017 251 0000     0   0         0.000      0.000  0.000000E+00
 2017 252 0000     0   0         0.000      0.000  0.000000E+00
 2017 253 0000     0   0         0.000      0.000  0.000000E+00
 2017 254 0000     0   0         0.000      0.000  0.000000E+00
 2017 255 0000    19   0  D    762.221   5038.771  5.291559E-01
 2017 256 0000     1   0  D    762.253   5039.009  2.330741E-01
 2017 257 0000    19   0  D    762.221   5038.771  4.892789E-01
 2017 258 0000    19   0  D    762.221   5038.771  6.142272E-01
 2017 259 0000     9   0  D    762.308   5038.811  5.905972E-01
 2017 260 0000    13   0  D    762.726   5039.480  1.029510E-01
 2017 261 0000     1   0  D    762.253   5039.009  2.928948E-01
 2017 262 0000    19   0  D    762.221   5038.771  8.451219E-01
 2017 263 0000     1   0  D    762.253   5039.009  4.435720E-01
 2017 264 0000     1   0  D    762.253   5039.009  3.457861E-01
 2017 265 0000     1   0  D    762.253   5039.009  6.335277E-02
 2017 266 0000    19   0  D    762.221   5038.771  2.566902E-01
 2017 267 0000    19   0  D    762.221   5038.771  1.035660E+00
 2017 268 0000    19   0  D    762.221   5038.771  1.043245E-01
 2017 269 0000    19   0  D    762.221   5038.771  1.899733E-01
 2017 270 0000    19   0  D    762.221   5038.771  3.024475E-01
 2017 271 0000    19   0  D    762.221   5038.771  2.602941E-01
