data,murano_foscolo,venezia_fisola
01/01/22,39,37
02/01/22,35,40
03/01/22,53,58
04/01/22,52,55
05/01/22,24,22
06/01/22,9,8
07/01/22,14,17
08/01/22,29,31
09/01/22,45,47
10/01/22,43,43
11/01/22,29,33
12/01/22,,24
13/01/22,46,49
14/01/22,88,79
15/01/22,83,79
16/01/22,47,53
17/01/22,52,54
18/01/22,41,40
19/01/22,51,54
20/01/22,63,64
21/01/22,38,43
22/01/22,73,71
23/01/22,53,54
24/01/22,65,73
25/01/22,45,46
26/01/22,74,79
27/01/22,85,87
28/01/22,80,81
29/01/22,75,81
30/01/22,60,62
31/01/22,71,73
01/02/22,62,61
02/02/22,28,25
03/02/22,26,24
04/02/22,44,44
05/02/22,68,68
06/02/22,69,74
07/02/22,37,34
08/02/22,27,21
09/02/22,38,39
10/02/22,55,57
11/02/22,80,76
12/02/22,15,16
13/02/22,21,19
14/02/22,43,44
15/02/22,41,40
16/02/22,47,43
17/02/22,57,58
18/02/22,51,55
19/02/22,77,82
20/02/22,25,26
21/02/22,40,41
22/02/22,26,24
23/02/22,27,25
24/02/22,36,37
25/02/22,31,30
26/02/22,9,10
27/02/22,10,13
28/02/22,24,24
01/03/22,21,21
02/03/22,43,45
03/03/22,51,50
04/03/22,40,35
05/03/22,24,23
06/03/22,20,20
07/03/22,52,29
08/03/22,33,26
09/03/22,64,66
10/03/22,85,80
11/03/22,31,26
12/03/22,24,26
13/03/22,35,35
14/03/22,34,33
15/03/22,42,40
16/03/22,56,52
17/03/22,53,49
18/03/22,36,33
19/03/22,27,27
20/03/22,31,30
21/03/22,36,26
22/03/22,34,34
23/03/22,45,42
24/03/22,62,57
25/03/22,66,53
26/03/22,53,50
27/03/22,53,48
28/03/22,55,42
29/03/22,45,43
30/03/22,37,35
31/03/22,20,23
01/04/22,23,14
02/04/22,12,10
03/04/22,14,12
04/04/22,17,16
05/04/22,41,30
06/04/22,25,23
07/04/22,42,28
08/04/22,39,37
09/04/22,16,13
10/04/22,15,9
11/04/22,20,17
12/04/22,26,24
13/04/22,25,18
14/04/22,51,42
15/04/22,28,20
16/04/22,23,23
17/04/22,26,21
18/04/22,20,18
19/04/22,24,23
20/04/22,21,11
21/04/22,29,23
22/04/22,13,16
23/04/22,21,19
24/04/22,13,10
25/04/22,19,14
26/04/22,16,
27/04/22,16,7
28/04/22,21,15
29/04/22,25,20
30/04/22,23,23
01/05/22,21,26
02/05/22,19,16
03/05/22,26,20
04/05/22,40,30
05/05/22,23,27
06/05/22,13,14
07/05/22,16,20
08/05/22,18,18
09/05/22,26,24
10/05/22,32,28
11/05/22,39,36
12/05/22,36,30
13/05/22,30,27
14/05/22,23,22
15/05/22,24,18
16/05/22,29,23
17/05/22,22,15
18/05/22,22,16
19/05/22,23,9
20/05/22,25,17
21/05/22,24,22
22/05/22,27,28
23/05/22,24,25
24/05/22,28,27
25/05/22,28,30
26/05/22,29,30
27/05/22,37,36
28/05/22,24,19
29/05/22,9,8
30/05/22,9,10
31/05/22,16,14
01/06/22,29,27
02/06/22,32,29
03/06/22,27,25
04/06/22,36,39
05/06/22,24,24
06/06/22,18,16
07/06/22,12,19
08/06/22,15,8
09/06/22,10,10
10/06/22,18,22
11/06/22,22,16
12/06/22,25,19
13/06/22,16,20
14/06/22,20,18
15/06/22,13,21
16/06/22,23,22
17/06/22,28,23
18/06/22,22,27
19/06/22,28,20
20/06/22,25,23
21/06/22,,37
22/06/22,29,29
23/06/22,40,46
24/06/22,39,33
25/06/22,33,25
26/06/22,29,39
27/06/22,26,39
28/06/22,44,56
29/06/22,36,45
30/06/22,41,34
01/07/22,36,40
02/07/22,34,25
03/07/22,33,24
04/07/22,33,38
05/07/22,25,20
06/07/22,24,15
07/07/22,20,18
08/07/22,17,2
09/07/22,19,9
10/07/22,23,13
11/07/22,21,7
12/07/22,24,6
13/07/22,28,7
14/07/22,28,8
15/07/22,19,7
16/07/22,28,8
17/07/22,24,7
18/07/22,24,17
19/07/22,27,21
20/07/22,31,29
21/07/22,35,30
22/07/22,48,42
23/07/22,39,66
24/07/22,27,24
25/07/22,32,28
26/07/22,22,22
27/07/22,21,17
28/07/22,27,21
29/07/22,31,22
30/07/22,20,14
31/07/22,24,19
01/08/22,24,20
02/08/22,21,12
03/08/22,22,15
04/08/22,28,23
05/08/22,28,21
06/08/22,21,20
07/08/22,10,37
08/08/22,20,17
09/08/22,23,20
10/08/22,24,23
11/08/22,22,18
12/08/22,15,16
13/08/22,14,16
14/08/22,23,20
15/08/22,22,21
16/08/22,18,16
17/08/22,27,28
18/08/22,24,25
19/08/22,16,11
20/08/22,24,20
21/08/22,19,15
22/08/22,21,12
23/08/22,21,9
24/08/22,18,17
25/08/22,25,21
26/08/22,34,29
27/08/22,24,28
28/08/22,20,23
29/08/22,23,21
30/08/22,26,21
31/08/22,18,16
01/09/22,20,13
02/09/22,25,19
03/09/22,20,18
04/09/22,22,20
05/09/22,,22
06/09/22,31,33
07/09/22,26,30
08/09/22,20,21
09/09/22,17,24
10/09/22,18,12
11/09/22,21,12
12/09/22,21,12
13/09/22,21,21
14/09/22,29,31
15/09/22,33,36
16/09/22,26,27
17/09/22,15,8
18/09/22,21,12
19/09/22,22,15
20/09/22,18,7
21/09/22,17,10
22/09/22,24,16
23/09/22,37,15
24/09/22,22,25
25/09/22,18,17
26/09/22,37,24
27/09/22,17,11
28/09/22,18,15
29/09/22,19,20
30/09/22,13,10
01/10/22,22,11
02/10/22,35,25
03/10/22,65,30
04/10/22,30,19
05/10/22,28,
06/10/22,37,
07/10/22,,30
08/10/22,39,33
09/10/22,32,29
10/10/22,34,24
11/10/22,182,43
12/10/22,47,28
13/10/22,43,34
14/10/22,52,48
15/10/22,53,54
16/10/22,53,54
17/10/22,58,57
18/10/22,53,55
19/10/22,59,64
20/10/22,35,34
21/10/22,31,38
22/10/22,23,47
23/10/22,18,28
24/10/22,43,36
25/10/22,26,18
26/10/22,38,28
27/10/22,52,49
28/10/22,46,41
29/10/22,57,54
30/10/22,85,80
31/10/22,86,82
01/11/22,69,69
02/11/22,78,75
03/11/22,71,73
04/11/22,24,17
05/11/22,12,11
06/11/22,23,17
07/11/22,34,27
08/11/22,43,43
09/11/22,58,49
10/11/22,41,32
11/11/22,25,22
12/11/22,50,46
13/11/22,27,22
14/11/22,21,20
15/11/22,47,38
16/11/22,30,22
17/11/22,37,30
18/11/22,44,37
19/11/22,18,14
20/11/22,13,9
21/11/22,25,21
22/11/22,22,13
23/11/22,31,14
24/11/22,37,29
25/11/22,33,30
26/11/22,19,18
27/11/22,25,17
28/11/22,29,28
29/11/22,23,15
30/11/22,23,22
01/12/22,13,13
02/12/22,15,14
03/12/22,16,18
04/12/22,16,14
05/12/22,21,15
06/12/22,36,27
07/12/22,32,33
08/12/22,32,29
09/12/22,26,24
10/12/22,33,32
11/12/22,13,5
12/12/22,23,22
13/12/22,19,22
14/12/22,46,
15/12/22,40,41
16/12/22,38,32
17/12/22,29,
18/12/22,24,16
19/12/22,37,36
20/12/22,62,59
21/12/22,67,69
22/12/22,81,83
23/12/22,88,89
24/12/22,82,83
25/12/22,69,67
26/12/22,85,83
27/12/22,78,81
28/12/22,34,35
29/12/22,62,65
30/12/22,48,46
31/12/22,48,51
01/01/21,35,36
02/01/21,2,8
03/01/21,11,13
04/01/21,15,17
05/01/21,14,16
06/01/21,12,10
07/01/21,40,41
08/01/21,22,25
09/01/21,14,12
10/01/21,10,11
11/01/21,15,18
12/01/21,47,51
13/01/21,62,64
14/01/21,45,49
15/01/21,13,13
16/01/21,22,23
17/01/21,48,45
18/01/21,42,45
19/01/21,82,89
20/01/21,88,89
21/01/21,74,82
22/01/21,49,53
23/01/21,14,16
24/01/21,23,23
25/01/21,23,22
26/01/21,34,38
27/01/21,47,52
28/01/21,57,62
29/01/21,64,69
30/01/21,71,73
31/01/21,14,14
01/02/21,14,18
02/02/21,37,42
03/02/21,57,62
04/02/21,67,65
05/02/21,69,80
06/02/21,73,74
07/02/21,38,41
08/02/21,25,29
09/02/21,23,22
10/02/21,15,16
11/02/21,18,17
12/02/21,13,11
13/02/21,11,12
14/02/21,14,18
15/02/21,39,46
16/02/21,46,53
17/02/21,72,69
18/02/21,69,66
19/02/21,59,56
20/02/21,79,81
21/02/21,72,73
22/02/21,42,44
23/02/21,45,41
24/02/21,86,91
25/02/21,83,93
26/02/21,92,96
27/02/21,57,57
28/02/21,14,14
01/03/21,36,42
02/03/21,29,27
03/03/21,71,64
04/03/21,73,77
05/03/21,78,79
06/03/21,12,10
07/03/21,19,16
08/03/21,41,34
09/03/21,36,34
10/03/21,31,25
11/03/21,39,38
12/03/21,57,56
13/03/21,51,53
14/03/21,27,21
15/03/21,22,22
16/03/21,22,18
17/03/21,17,5
18/03/21,12,2
19/03/21,16,12
20/03/21,20,18
21/03/21,13,15
22/03/21,37,30
23/03/21,40,12
24/03/21,32,26
25/03/21,28,25
26/03/21,36,33
27/03/21,31,35
28/03/21,30,33
29/03/21,34,33
30/03/21,49,57
31/03/21,60,66
01/04/21,60,64
02/04/21,36,41
03/04/21,18,10
04/04/21,8,6
05/04/21,13,17
06/04/21,11,8
07/04/21,15,13
08/04/21,23,21
09/04/21,21,20
10/04/21,22,26
11/04/21,11,13
12/04/21,26,20
13/04/21,6,2
14/04/21,13,12
15/04/21,10,12
16/04/21,18,16
17/04/21,15,21
18/04/21,14,17
19/04/21,14,16
20/04/21,26,24
21/04/21,23,24
22/04/21,22,17
23/04/21,21,16
24/04/21,17,24
25/04/21,25,15
26/04/21,27,17
27/04/21,16,21
28/04/21,16,13
29/04/21,16,15
30/04/21,20,26
01/05/21,23,22
02/05/21,10,8
03/05/21,11,7
