id_run_2022,abbr,nome_vetreria,x,y,h_camino_m,d_camino_m,emi_mg_s,h_attivita_periodo,kg_periodo,foscolo_dist_m,serenella_dist_m,marco_dist_m,temp_K,temp_C,vel_m_s
1,BLA,Vetreria Artistica Oball,762524,5039066.9,8.9,0.5,0.034,499,0.062,277,989,424,399.8,126.7,20.5
2,BRV,Barovier e Toso,761909,5038678.2,7.9,0.5,0.042,2110,0.32,477,599,324,355.7,82.5,22.1
3,CMD,Componenti Donà,761974,5039189.9,7.3,0.5,0.033,1171,0.14,333,437,486,381,107.9,18.8
4,CRL,Carlo Moretti,762144,5038663.1,10.9,0.4,0.0052,987,0.019,363,776,132,374.5,101.4,4.5
5,DST,D’Este e Zane Art Glass,762698,5039297.9,7.4,0.4,0.016,210,0.012,530,1168,711,346,72.9,12.6
6,FFE,Vetreria Artistica Effe,762544,5039011.2,2.8,0.5,0.025,257,0.023,291,1015,403,363,89.9,15
7,FFT,Effetre,762266,5038900.9,7.7,0.8,0.052,2084,0.39,109,768,138,367,93.9,11.1
8,GFR,Eugenio Ferro,762507,5038914.1,3.2,0.5,0.025,235,0.021,271,996,320,363,89.9,15
9,GMB,Gambaro e Tagliapietra,761945,5039377.9,7.2,0.4,0.023,338,0.027,481,466,667,348,74.9,18.3
10,LNV,Linea Valentina,762016,5039006.8,10.1,0.5,0.021,356,0.027,237,498,313,363,89.9,11.3
11,MDF,Lavorazioni Artistiche,761849,5039405.8,8.9,0.4,0.016,445,0.025,566,402,736,343.2,70,12.5
12,MRR,La Murrina,762230,5039163.1,8.4,0.4,0.017,548,0.034,156,691,392,423,149.9,17.1
13,MSD,Mosaici Donà,761951,5039330.1,8.6,0.5,0.014,880,0.044,441,450,621,363,89.9,7.5
14,NBC,Nuova Biemmeci,762278,5039508.8,7.1,0.5,0.025,701,0.063,500,822,740,363,89.9,15
15,NFR,Anfora,761701,5039018.1,7.3,0.5,0.033,599,0.071,553,209,576,378,104.9,18.6
16,NSM,Nason Moretti,761908,5038999,10.8,0.4,0.0069,1895,0.047,346,398,387,344,70.9,4.4
17,NTC,Antichi Angeli,762543,5039370.1,5.2,0.4,0.025,263,0.023,463,1028,680,372,98.9,17
18,RSM,Ars Murano,762577,5039417,4.7,0.5,0.035,2281,0.29,521,1072,738,364,90.9,18.9
19,RTL,Vetreria 3 Artistica,761939,5038725.1,9.7,0.5,0.03,433,0.046,424,583,286,333,59.9,14.7
20,RTM,Artigianato Muranese,761822,5038653.8,10,0.5,0.016,1442,0.081,558,571,415,359,85.9,8.4
21,SGC,Simone Cenedese,761982,5038827.1,9,0.5,0.021,1470,0.11,327,548,245,363,89.9,11.3
22,SGG,Salvadore,762034,5038994.1,4.2,0.5,0.021,241,0.018,220,519,291,383.3,110.2,11.9
23,SSH,SSHG,762754,5039360.8,6.8,0.8,0.087,567,0.18,612,1233,795,363,89.9,18.4
24,STL,Striulli Vetri Arte,762344,5038981.9,5.3,0.4,0.011,69,0.0028,95,822,244,346,72.9,9.2
25,VNN,Venini,761946,5038776.9,13.4,0.5,0.011,2533,0.1,385,552,275,390.5,117.4,6.5
