data,recettore,stima,valore
2017-08-31,foscolo,calpuff,0.09960862
2017-08-31,marco,calpuff,0.1457293
2017-08-31,serenella,calpuff,0.2457788
2017-08-31,foscolo,misura,46.5
2017-08-31,marco,misura,1.4
2017-08-31,serenella,misura,13.7
2017-09-01,foscolo,calpuff,0.4579794
2017-09-01,marco,calpuff,0.271642
2017-09-01,serenella,calpuff,0.4178445
2017-09-01,foscolo,misura,13.2
2017-09-01,marco,misura,14.9
2017-09-01,serenella,misura,279.8
2017-09-02,foscolo,calpuff,0.2312719
2017-09-02,marco,calpuff,0.193639
2017-09-02,serenella,calpuff,0.1225707
2017-09-02,foscolo,misura,0.9
2017-09-02,marco,misura,2.7
2017-09-02,serenella,misura,5.8
2017-09-03,foscolo,calpuff,0.3205856
2017-09-03,marco,calpuff,0.1706511
2017-09-03,serenella,calpuff,0.1555005
2017-09-03,foscolo,misura,2.6
2017-09-03,marco,misura,0.3
2017-09-03,serenella,misura,0.5
2017-09-04,foscolo,calpuff,0.318912
2017-09-04,marco,calpuff,0.3232247
2017-09-04,serenella,calpuff,0.3666563
2017-09-04,foscolo,misura,5.7
2017-09-04,marco,misura,2.5
2017-09-04,serenella,misura,10.1
2017-09-05,foscolo,calpuff,0.3200634
2017-09-05,marco,calpuff,0.1864803
2017-09-05,serenella,calpuff,0.4604823
2017-09-05,foscolo,misura,3
2017-09-05,marco,misura,2.1
2017-09-05,serenella,misura,21
2017-09-06,foscolo,calpuff,0.1502957
2017-09-06,marco,calpuff,0.1030898
2017-09-06,serenella,calpuff,0.1925372
2017-09-06,foscolo,misura,8.7
2017-09-06,marco,misura,1.8
2017-09-06,serenella,misura,8.6
2017-09-07,foscolo,calpuff,0.1174162
2017-09-07,marco,calpuff,0.114978
2017-09-07,serenella,calpuff,0.0468355
2017-09-07,foscolo,misura,1.2
2017-09-07,marco,misura,4.8
2017-09-07,serenella,misura,0.7
2017-09-08,foscolo,calpuff,0.3672251
2017-09-08,marco,calpuff,0.3245524
2017-09-08,serenella,calpuff,0.1738432
2017-09-08,foscolo,misura,13.1
2017-09-08,marco,misura,87.4
2017-09-08,serenella,misura,10.2
2017-09-09,foscolo,calpuff,0.1867729
2017-09-09,marco,calpuff,0.3873154
2017-09-09,serenella,calpuff,0.1410332
2017-09-09,foscolo,misura,1.5
2017-09-09,marco,misura,1.4
2017-09-09,serenella,misura,0.8
2017-09-10,foscolo,calpuff,0.2094517
2017-09-10,marco,calpuff,0.173606
2017-09-10,serenella,calpuff,0.0910325
2017-09-10,foscolo,misura,1
2017-09-10,marco,misura,2.3
2017-09-10,serenella,misura,0.4
2017-09-11,foscolo,calpuff,0.1935758
2017-09-11,marco,calpuff,0.3047386
2017-09-11,serenella,calpuff,0.06304522
2017-09-11,foscolo,misura,11.1
2017-09-11,marco,misura,25.8
2017-09-11,serenella,misura,0.3
2017-09-12,foscolo,calpuff,0.1068026
2017-09-12,marco,calpuff,0.6289145
2017-09-12,serenella,calpuff,0.02619762
2017-09-12,foscolo,misura,6
2017-09-12,marco,misura,25.2
2017-09-12,serenella,misura,0.2
2017-09-13,foscolo,calpuff,0.2273505
2017-09-13,marco,calpuff,0.01195358
2017-09-13,serenella,calpuff,0.2614168
2017-09-13,foscolo,misura,182.8
2017-09-13,marco,misura,39.1
2017-09-13,serenella,misura,32.1
2017-09-14,foscolo,calpuff,0.166273
2017-09-14,marco,calpuff,0.626308
2017-09-14,serenella,calpuff,0.03081965
2017-09-14,foscolo,misura,7.8
2017-09-14,marco,misura,111.7
2017-09-14,serenella,misura,4.2
2017-09-15,foscolo,calpuff,0.1781785
2017-09-15,marco,calpuff,0.8931614
2017-09-15,serenella,calpuff,0.01029135
2017-09-15,foscolo,misura,13.8
2017-09-15,marco,misura,196.1
2017-09-15,serenella,misura,0.4
2017-09-16,foscolo,calpuff,0.3241192
2017-09-16,marco,calpuff,0.4995897
2017-09-16,serenella,calpuff,0.05953985
2017-09-16,foscolo,misura,6.9
2017-09-16,marco,misura,11
2017-09-16,serenella,misura,0.9
2017-09-17,foscolo,calpuff,0.225015
2017-09-17,marco,calpuff,0.1097866
2017-09-17,serenella,calpuff,0
2017-09-17,foscolo,misura,1.8
2017-09-17,marco,misura,1.4
2017-09-17,serenella,misura,0.6
2017-09-18,foscolo,calpuff,0.4424288
2017-09-18,marco,calpuff,0.330118
2017-09-18,serenella,calpuff,0.09168296
2017-09-18,foscolo,misura,6.6
2017-09-18,marco,misura,16
2017-09-18,serenella,misura,7.3
2017-09-19,foscolo,calpuff,0.07194693
2017-09-19,marco,calpuff,1.103992
2017-09-19,serenella,calpuff,0
2017-09-19,foscolo,misura,4.1
2017-09-19,marco,misura,42.3
2017-09-19,serenella,misura,0.3
2017-09-20,foscolo,calpuff,0.6243719
2017-09-20,marco,calpuff,0.513612
2017-09-20,serenella,calpuff,0.1359742
2017-09-20,foscolo,misura,38.3
2017-09-20,marco,misura,12.3
2017-09-20,serenella,misura,24.5
2017-09-21,foscolo,calpuff,0.5671127
2017-09-21,marco,calpuff,0.1761644
2017-09-21,serenella,calpuff,0.3846078
2017-09-21,foscolo,misura,613.4
2017-09-21,marco,misura,2.7
2017-09-21,serenella,misura,10.4
