data,recettore,stima,valore
2017-08-31,foscolo,base,0.06275249004545455
2017-08-31,marco,base,0.06287070228181818
2017-08-31,serenella,base,0.15141522727272727
2017-08-31,foscolo,bdnpr,0.04270526045454545
2017-08-31,marco,bdnpr,0.04994357336818182
2017-08-31,serenella,bdnpr,0.08198101818181819
2017-08-31,foscolo,misure,46.5
2017-08-31,marco,misure,1.4
2017-08-31,serenella,misure,13.7
2017-09-01,foscolo,base,0.23375856250000002
2017-09-01,marco,base,0.14019093824999998
2017-09-01,serenella,base,0.40485281250000005
2017-09-01,foscolo,bdnpr,0.22721760416666667
2017-09-01,marco,bdnpr,0.11066882302083333
2017-09-01,serenella,bdnpr,0.3991216166666667
2017-09-01,foscolo,misure,13.2
2017-09-01,marco,misure,14.9
2017-09-01,serenella,misure,279.8
2017-09-02,foscolo,base,0.211500348875
2017-09-02,marco,base,0.0834979282
2017-09-02,serenella,base,0.06544063454416667
2017-09-02,foscolo,bdnpr,0.35702133787499996
2017-09-02,marco,bdnpr,0.07972351682291666
2017-09-02,serenella,bdnpr,0.04924278157083333
2017-09-02,foscolo,misure,0.9
2017-09-02,marco,misure,2.7
2017-09-02,serenella,misure,5.8
2017-09-03,foscolo,base,0.231998540725
2017-09-03,marco,base,0.10604879419999999
2017-09-03,serenella,base,0.06812061506666665
2017-09-03,foscolo,bdnpr,0.31257329371250003
2017-09-03,marco,bdnpr,0.09232853141666666
2017-09-03,serenella,bdnpr,0.056666939916666666
2017-09-03,foscolo,misure,2.6
2017-09-03,marco,misure,0.3
2017-09-03,serenella,misure,0.5
2017-09-04,foscolo,base,0.30635271183208335
2017-09-04,marco,base,0.05015787679416667
2017-09-04,serenella,base,0.29529203583333336
2017-09-04,foscolo,bdnpr,0.29690422083333334
2017-09-04,marco,bdnpr,0.041545932375
2017-09-04,serenella,bdnpr,0.28303448333333336
2017-09-04,foscolo,misure,5.7
2017-09-04,marco,misure,2.5
2017-09-04,serenella,misure,10.1
2017-09-05,foscolo,base,0.143493772125
2017-09-05,marco,base,0.05935664121875
