rec_n,x,y,z,max,pct98,exc_1h,n_epis,dur_epis,dist_x_y,rec_lab,samtype,pktime,PMR_type,PMR_lab,out_model,system
1,738159.1,5073566,2,5.271907,1.80080586,596,330,8,100,R1,avg,NA,static,s_2.3,default,calpuff
2,738059.1,5073466,2,2.675788,1.37000198,440,291,7,200,R2,avg,NA,static,s_2.3,default,calpuff
3,737959,5073366,2,1.995849,0.868219388,100,92,4,300,R3,avg,NA,static,s_2.3,default,calpuff
4,737859.1,5073266,2,1.354295,0.598741462,19,19,1,400,R4,avg,NA,static,s_2.3,default,calpuff
5,737759,5073166,2,1.084125,0.392618504,1,1,1,500,R5,avg,NA,static,s_2.3,default,calpuff
6,737659.1,5073066,2,1.019232,0.318731432,1,1,1,600,R6,avg,NA,static,s_2.3,default,calpuff
7,737559.1,5072966,2,0.8780436,0.265260209999999,0,0,0,700,R7,avg,NA,static,s_2.3,default,calpuff
8,737459,5072866,2,0.7358224,0.22856252,0,0,0,800,R8,avg,NA,static,s_2.3,default,calpuff
9,737359.1,5072766,2,0.5924109,0.20003434,0,0,0,900,R9,avg,NA,static,s_2.3,default,calpuff
10,737259,5072666,2,0.4646174,0.176914454,0,0,0,1000,R10,avg,NA,static,s_2.3,default,calpuff
11,737159.1,5072566,2,0.4224674,0.168517968,0,0,0,1100,R11,avg,NA,static,s_2.3,default,calpuff
12,737059.1,5072466,2,0.3592003,0.155981302,0,0,0,1200,R12,avg,NA,static,s_2.3,default,calpuff
13,736959,5072366,2,0.3340409,0.144986814,0,0,0,1300,R13,avg,NA,static,s_2.3,default,calpuff
14,736859.1,5072266,2,0.3131274,0.134427836,0,0,0,1400,R14,avg,NA,static,s_2.3,default,calpuff
15,736759,5072166,2,0.2948043,0.125540346,0,0,0,1500,R15,avg,NA,static,s_2.3,default,calpuff
16,736659.1,5072066,2,0.2836791,0.11810256,0,0,0,1600,R16,avg,NA,static,s_2.3,default,calpuff
17,736559.1,5071966,2,0.2839401,0.109844838,0,0,0,1700,R17,avg,NA,static,s_2.3,default,calpuff
18,736459,5071866,2,0.2873004,0.104007008,0,0,0,1800,R18,avg,NA,static,s_2.3,default,calpuff
19,736359.1,5071766,2,0.2493293,0.0984515548,0,0,0,1900,R19,avg,NA,static,s_2.3,default,calpuff
20,736259,5071666,2,0.2272705,0.0919195817999999,0,0,0,2000,R20,avg,NA,static,s_2.3,default,calpuff
21,736159.1,5071566,2,0.2152252,0.087683481,0,0,0,2100,R21,avg,NA,static,s_2.3,default,calpuff
22,736059.1,5071466,2,0.2019122,0.0833615405999999,0,0,0,2200,R22,avg,NA,static,s_2.3,default,calpuff
23,735959,5071366,2,0.1868412,0.0772516096,0,0,0,2300,R23,avg,NA,static,s_2.3,default,calpuff
24,735859.1,5071266,2,0.1692366,0.0711813665999999,0,0,0,2400,R24,avg,NA,static,s_2.3,default,calpuff
25,735759,5071166,2,0.1471466,0.0637976975999999,0,0,0,2500,R25,avg,NA,static,s_2.3,default,calpuff
